"city","census_tract","ses_percentile","ses_score","pop_black","pop_female","pop_native_american","pop_non_citizen","pop_snap","pop_pacific_islander","avg_edu","median_income","median_rent","unemployed_percentage","percent_poverty_150"
"Pittsburgh",6037134520,68,1.24479060137245,-0.51513234447625,-0.461478393397473,0.0490031720994915,1.05013501208308,0.659005458697405,0.293561501463194,-0.636198288203399,-0.528274116222945,-0.570939311453932,-0.768642188832165,0.291926521983653
"Pittsburgh",6037134521,87,2.30664441543799,-0.735099515385239,-1.08424280081327,-0.586360612434569,1.61547941529614,1.43541827968043,-0.405272799984656,-1.5887763798812,-0.550002186853249,-0.233837951818665,0.0765939876706414,0.546024961544321
"Pittsburgh",6037134522,85,2.15111486930089,-0.367689683369745,-0.179676729148862,-0.375004307803556,0.632472367363773,1.12130368771997,-0.547302736084111,-0.694618863991819,-0.677422580951565,-0.765708985909865,0.404760398207602,1.12235857063987
"Pittsburgh",6037134710,66,1.15896157026374,-0.521143264764553,-0.391863884230952,-0.13363060696048,0.980051331968052,0.529477819342654,0.939575557908933,-0.408952238190903,-0.500104054802752,-0.625250086061837,0.0567078913046759,0.37294933207625
"Pittsburgh",6037134720,47,-0.00442474638578688,-0.156722145887791,-0.000118390250172001,-0.146317622511437,-0.0548717335996391,-0.0492942002063488,-0.374628178687313,0.0245191569939685,-0.159606626357509,-0.0446866333566538,1.01501246031073,-0.376376404950307
"Pittsburgh",6037134800,34,-0.914856804789472,-0.400335297267372,-0.123916145929454,-0.389567093508087,0.628803172845676,-0.0970607590077051,-0.425953043268101,0.117137064180347,0.113195305651611,0.798066765731515,-0.558933370905341,-1.06095764730613
"Pittsburgh",6037134901,45,-0.0627639962637339,-0.468721717714682,1.13288242304898,-0.446332825358735,-0.0857762412012449,0.149146018722389,-0.547302736084111,0.5839068511294,-0.389116196532882,-0.349950642359701,-0.923509808933991,0.0898011560114357
"Pittsburgh",6037134903,46,-0.0322712362178249,-0.0720518759678822,-0.338533281337833,-0.196105237086509,1.01719947883211,-0.114547314990315,-0.201448254158014,0.443520133006315,-0.120299563910728,0.404781846157036,-0.44465451037113,0.29180784086517
"Pittsburgh",6037134904,48,0.0909267405209895,-0.401538697583532,-0.483138127198811,-0.0411088422853488,0.326768988782583,-0.326445377053386,-0.547302736084111,0.051967256540953,-0.299255884328157,-0.760090629915943,-1.0139009186518,-0.372833412080172
"Pittsburgh",6037134905,15,-2.34313552000814,0.51205759731437,0.865927123454324,-0.41081934720566,-0.0255770595886564,-1.69017470223405,1.01623352188166,1.24568785638915,0.620856935780248,1.40297642774369,0.0522016627936005,-0.713765527865261
"Pittsburgh",6037135102,16,-2.31512516203006,-0.310804884421947,0.478324339224934,0.0072468192875178,-0.280643110149555,-0.170775723684918,0.220044397655051,0.9601830571035,1.36048482748718,1.41234035440022,-0.423485956078434,-1.09556450107562
